OTU ID,kingdom,phylum,class,order,family,genus,species
OTU6413,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__uncultured_Acidimicrobiia_bacterium_g__norank
OTU6417,Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__norank_c__Gitt-GS-136,f__norank_o__norank_c__Gitt-GS-136,g__norank_f__norank_o__norank_c__Gitt-GS-136,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Gitt-GS-136
OTU6418,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__metagenome_g__norank_f__norank_o__IMCC26256
OTU6426,Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_o__RBG-13-54-9,g__norank_f__norank_o__RBG-13-54-9,s__unclassified_g__norank_f__norank_o__RBG-13-54-9
OTU6440,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter,s__uncultured_actinobacterium_g__Solirubrobacter
OTU6441,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__211ds20,f__norank_o__211ds20,g__norank_f__norank_o__211ds20,s__uncultured_bacterium_g__norank_f__norank_o__211ds20
OTU645,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank_f__Ilumatobacteraceae,s__uncultured_bacterium_g__norank_f__Ilumatobacteraceae
OTU6453,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU6458,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__uncultured_bacterium_g__norank_f__67-14
OTU6459,Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_bacterium_g__norank_f__norank_o__C0119
OTU6461,Bacteria,p__Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__unclassified_g__norank_f__norank_o__norank_c__OM190
OTU6467,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Vicinamibacter,s__uncultured_bacterium_g__Vicinamibacter
OTU6478,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU6479,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__unclassified_g__norank_f__67-14
