OTU ID,Nadd,Nlevel,Block,Year,B,R,IN,PH,bac,DOC,Cu,Mn,Zn,Fe
Bac1939,Ncess,0,B3,2019,303.02,10,2.22,7.3,2379,45.98,0.321,9.988,0.415,10.014
Bac1954,Ncess,0,B4,2019,146.04,9,7.62,7.68,2420,99.09,0.2484,6.41,0.4724,6.4852
Bac1969,Ncess,0,B5,2019,210.51,11,2.13,6.74,2604,66.33,0.3798,13.628,0.4898,13.1772
Bac1910,Ncess,2,B1,2019,207.17,11,5.43,6.56,2545,70.17,0.3632,12.176,0.375,14.6292
Bac1925,Ncess,2,B2,2019,197.69,12,4.53,7.7,2522,54.15,0.3034,5.83,0.3054,7.7732
Bac1940,Ncess,2,B3,2019,249.3,8,3.92,7.66,2519,50.98,0.313,9.106,0.418,10.789
Bac1955,Ncess,2,B4,2019,222.55,13,5.62,7.59,2432,57.23,0.2442,5.924,0.5256,8.0192
Bac1970,Ncess,2,B5,2019,146.04,12,4.77,6.84,2385,41.01,0.3402,12.494,0.4658,12.7352
Bac1911,Ncess,5,B1,2019,162.39,11,5.37,6.6,2495,43.55,0.3568,12.636,0.4686,16.2292
Bac1926,Ncess,5,B2,2019,126.8,15,3.42,7.03,2399,54.51,0.3716,8.94,0.287,12.9412
Bac1941,Ncess,5,B3,2019,149.69,12,3.74,7.22,2594,53.39,0.2314,6.948,0.3324,9.8972
Bac1956,Ncess,5,B4,2019,234.82,9,5.28,7.63,2600,69.93,0.2576,6.918,0.683,11.7292
Bac1971,Ncess,5,B5,2019,267.71,10,4.58,6.41,2497,58.43,0.382,17.316,0.4856,19.6912
Bac1912,Ncess,10,B1,2019,126.94,10,3.91,6.31,2578,39.11,0.4118,17.844,0.3632,20.9592
Bac1927,Ncess,10,B2,2019,290.43,8,4.1,7.18,2446,59.86,0.324,8.804,0.2566,15.4492
Bac1942,Ncess,10,B3,2019,310.65,10,5.33,6.79,2277,63.57,0.3256,12.438,0.4302,14.4452
Bac1957,Ncess,10,B4,2019,205.28,10,5,7.04,2457,52.81,0.2892,10.354,0.449,18.4632
Bac1972,Ncess,10,B5,2019,210.4,9,3.05,6.27,2584,57.36,0.374,18.256,0.435,22.9592
Bac1913,Ncess,15,B1,2019,221.25,11,3.66,6.53,2546,47.37,0.3658,13.446,0.2756,21.4592
Bac1928,Ncess,15,B2,2019,246.01,10,2.77,7.24,2594,65,0.3796,9.802,0.2826,18.9232
Bac1943,Ncess,15,B3,2019,219.64,8,3.55,7.59,2480,65.92,0.2348,6.756,0.2552,11.9732
Bac1958,Ncess,15,B4,2019,619.55,4,7.95,6.86,2524,91.42,0.3394,13.014,0.3204,22.7992
Bac1973,Ncess,15,B5,2019,202.13,8,2.97,5.84,2548,55.62,0.4268,26.82,0.5364,31.9392
Bac1914,Ncess,20,B1,2019,233.37,7,3.16,5.8,2290,50.84,0.4238,32.64,0.2884,36.1592
Bac1929,Ncess,20,B2,2019,220.38,7,3.13,6.1,2531,46.51,0.4446,23.94,0.2986,25.8392
Bac1944,Ncess,20,B3,2019,306.55,8,6.8,6.08,2495,44.86,0.4186,21,0.3286,26.2992
Bac1959,Ncess,20,B4,2019,260.65,5,7.12,6.06,2398,55.88,0.4372,21.94,0.3684,31.1392
Bac1974,Ncess,20,B5,2019,236.92,8,2.62,5.76,2405,48.87,0.4184,29.26,0.4378,32.3192
Bac1915,Ncess,50,B1,2019,426.94,7,10.72,5.14,1691,64.17,0.5308,35.2,0.709,51.4792
Bac1930,Ncess,50,B2,2019,212.41,7,6.52,5.42,2114,46.82,0.4926,30.94,0.24,43.8192
Bac1945,Ncess,50,B3,2019,274.81,6,6.3,6.61,2386,64.1,0.3604,17.312,0.3104,36.8592
Bac1960,Ncess,50,B4,2019,402.46,3,7.85,4.89,1873,69.34,0.4248,47.36,0.2608,49.9792
Bac1975,Ncess,50,B5,2019,247.35,5,5.38,4.81,1602,57.46,0.4976,44.74,0.3274,55.9392
Bac1902,Ncont,0,B1,2019,148.69,12,3.01,7.12,2563,38.74,0.307,8.722,0.391,10.4912
Bac1917,Ncont,0,B2,2019,153.88,16,2.78,7.33,2600,42.14,0.2864,6.628,0.9354,7.4452
Bac1932,Ncont,0,B3,2019,163.21,14,3.3,7.26,2630,47.75,0.2484,9.092,0.4174,9.8172
Bac1947,Ncont,0,B4,2019,100.07,10,3.84,7.67,2556,65.67,0.2236,5.696,0.6284,8.1052
Bac1962,Ncont,0,B5,2019,183.42,11,3.92,7.66,2498,51.23,0.3202,7.838,0.4922,9.1012
Bac1903,Ncont,2,B1,2019,186.84,9,4.87,6.79,2410,38.19,0.3782,12.138,0.5624,14.2832
