OTU ID,kingdom,phylum,class,order,family,genus,species
OTU10347,Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__unclassified_o__Chlamydiales,g__unclassified_o__Chlamydiales,s__unclassified_o__Chlamydiales
OTU10349,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__norank_f__Caulobacteraceae,s__metagenome_g__norank_f__Caulobacteraceae
OTU1035,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__norank_o__Micavibrionales,g__norank_f__norank_o__Micavibrionales,s__metagenome_g__norank_f__norank_o__Micavibrionales
OTU10350,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU10351,Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__unclassified_g__norank_f__JG30-KF-CM45
OTU10352,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU10353,Bacteria,p__Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__unclassified_g__norank_f__norank_o__norank_c__TK10
OTU10354,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__norank_o__Elsterales,g__norank_f__norank_o__Elsterales,s__unclassified_g__norank_f__norank_o__Elsterales
OTU10355,Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10357,Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_o__norank_c__JG30-KF-CM66,g__norank_f__norank_o__norank_c__JG30-KF-CM66,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__JG30-KF-CM66
