Taxon,YN00_1,YN00_2,YN00_3,YN00_4,YN00_5,YN02_1,YN02_2,YN02_3,YN02_4,YN02_5,YN05_1,YN05_2,YN05_3,YN05_4,YN05_5,YN10_1,YN10_2,YN10_3,YN10_4,YN10_5,YN15_1,YN15_2,YN15_3,YN15_4,YN15_5,YN20_1,YN20_2,YN20_3,YN20_4,YN20_5,YN50_1,YN50_2,YN50_3,YN50_4,YN50_5,NN00_1,NN00_2,NN00_3,NN00_4,NN00_5,NN02_1,NN02_2,NN02_3,NN02_4,NN02_5,NN05_1,NN05_2,NN05_3,NN05_4,NN05_5,NN10_1,NN10_2,NN10_3,NN10_4,NN10_5,NN15_1,NN15_2,NN15_3,NN15_4,NN15_5,NN20_1,NN20_2,NN20_3,NN20_4,NN20_5,NN50_1,NN50_2,NN50_3,NN50_4,NN50_5
AY281354.34942.36500;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured_Vicinamibacterales;g__uncultured_Vicinamibacterales;s__unclassified_Vicinamibacterales,261,0,0,0,0,148,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,191,159,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,132,0,0,0,0,0,233,0,0,0,0,144,251,0,0,0,0,155,89,0,125,0,0,0,0,0,0,0
AY289480.1.1326;d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured_Gemmatimonadaceae;s__unclassified_Gemmatimonadaceae,0,34,0,23,0,0,37,23,0,11,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,0,19,0,38,0,0,0,23,0,0,8,0,0,11,49,0,0,0,0,0,52,0,0,0,46,9,0,0,0,0,0,27,0
AY289483.1.1250;d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__uncultured_Gemmatimonas,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,45,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
AY326522.1.1587;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter;s__unclassified_Candidatus_Udaeobacter,0,72,0,0,0,48,0,76,0,0,0,0,0,216,34,0,0,57,0,0,0,55,67,0,0,0,0,0,0,0,0,0,83,0,0,11,0,0,39,0,0,66,0,82,6,77,0,25,0,0,0,0,0,0,12,59,82,0,0,0,0,23,0,94,51,81,0,78,0,0
AY326618.1.1471;d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured_Gaiellales;g__uncultured_Gaiellales;s__unclassified_Gaiellales,0,31,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,57,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY395331.1.1393;d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__uncultured_Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
AY395384.1.1394;d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10;g__TK10;s__uncultured_Chloroflexi,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY425772.1.1465;d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured_Gaiellales;g__uncultured_Gaiellales;s__uncultured_Gaiellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY736245.1.1252;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__unclassified_Actinoplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY911449.1.1249;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__uncultured_Mycobacterium,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
AY921985.1.1406;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae;s__unclassified_Vicinamibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY922128.1.1385;d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured_Gemmatimonadaceae;s__unclassified_Gemmatimonadaceae,18,0,22,61,0,55,12,0,24,9,0,38,0,0,68,41,17,37,24,0,62,43,16,0,0,83,28,53,0,0,0,0,52,0,32,33,0,64,0,0,45,53,49,55,118,29,51,56,23,18,0,0,49,51,0,22,14,49,0,54,45,0,39,4,0,65,0,68,62,0
AYWY01000007.130624.132186;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__unclassified_Mesorhizobium,0,0,251,161,0,0,0,0,0,0,0,0,0,263,0,0,0,185,95,0,0,0,0,0,245,0,112,0,0,0,0,0,0,0,0,111,0,42,111,0,0,144,0,144,0,0,0,0,211,0,0,0,0,0,0,0,162,0,116,0,0,0,0,252,0,0,0,0,0,0
AZSJ01000003.762924.764417;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__uncultured_Xanthobacteraceae;s__unclassified_Xanthobacteraceae,221,37,0,61,0,0,0,114,0,0,0,0,183,118,0,0,155,0,0,0,33,137,112,0,0,143,63,0,0,0,0,0,0,0,0,156,0,113,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,117,0,0,0,168,0,0,49,0,114,0,0,0,0,0,0,0
BDJE01000061.3722.5256;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__unclassified_Nocardioides,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,62,0,0,0,0,0,45,53,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0
CP000133.3576324.3577836;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;s__unclassified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP002638.2336703.2338222;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__unclassified_Micromonosporaceae;s__unclassified_Micromonosporaceae,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,91,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,153,0,0,0,0,141,0,0,41,0,84,154,0,0,0,127,0,0,0,112,0,0,0,0,0,0,88,0,0,0,0,0,0,0
CP006272.1647226.1648749;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__unclassified_Actinoplanes,146,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,135,0,0,0,0,0,128
CP007155.7246905.7248409;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__unclassified_Pseudonocardiaceae;s__unclassified_Pseudonocardiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,35,0,67,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP012601.1905340.1906898;d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__uncultured_Planococcaceae;s__Bacillus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
CP017717.10781268.10782799;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__unclassified_Streptosporangiaceae;s__unclassified_Streptosporangiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,216,0,0,0,0,0,115,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU927500.1.1342;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__uncultured_Marmoricola,0,0,0,0,23,0,0,0,0,0,0,0,24,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,14,0,0,0,0,38,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
