sample_name,N,Nadd,Block,Nlevel,DOC,DN,DOC.DN,NH4,NO3,IN,LIN,pH,Cu,Mn,Plant.biomass,Plant.richness,KO.richness,OTU.richness,CN.ratio,virus,OTU.shannon,KO.shannon,Fbratio,rate,rate1,16sShannon.Wiener,16sSimpson,16sobserved_species,plasmidr,plasmids,lgtko1,lgtko2,h.function,AGS
YN20_4,N20,Ncont,B4,20,74.89916173,72.51555849,1.032870232,48.77998734,29.98886475,78.76885209,1.896354516,5.94,0.3586,32.08,287.05,5,9997,2219,0.950872835,4.208994055,6.569977341,8.066452582,0.230765973,4.505182515,0.22196659,3.91866957,0.97084959,92,664,4.492734807,36,3.5646233,1.227774795,3.701636675
YN20_5,N20,Ncont,B5,20,71.93135817,75.83482078,0.948526777,86.78108942,31.1607252,117.9418146,2.071667805,5.09,0.4594,57.3,277.79,9,10467,2174,0.609888515,4.304410908,6.418791799,8.078714099,0.092090398,4.814627415,0.207700392,3.93483675,0.97106822,99,668,4.446105617,39,3.6542221,1.258603543,3.314340725
YN50_1,N50,Ncont,B1,50,46.91563147,531.4628667,0.088276405,548.8814096,38.86907453,587.7504841,2.769192996,5.15,0.4774,18.588,351.57,3,11695,2171,0.079822361,4.456962741,6.449428372,8.122923239,0.18407192,5.386918471,0.185634887,3.93257519,0.97047289,95,672,4.474988829,38,3.54968668,1.259479565,3.292717978
YN50_2,N50,Ncont,B2,50,64.24026532,475.0248558,0.135235587,300.8816529,49.30831035,350.1899633,2.544303695,4.64,0.4582,21.74,471.16,3,11531,776,0.183444051,4.372725042,6.381892774,8.106836682,0.143783152,14.85953608,0.067296852,3.70784927,0.96445045,79,659,4.372140521,97,4.56358136,1.270287197,3.948139399
YN50_3,N50,Ncont,B3,50,67.6000362,387.6865089,0.174367781,381.478372,38.54478006,420.0231521,2.62327323,5.37,0.4102,33.6,488.53,3,11715,1557,0.160943595,4.39184572,4.862457106,8.12499667,0.186775587,7.524084778,0.13290653,3.89643956,0.9713981,93,662,4.48740693,51,3.91797892,1.670965212,3.518511732
YN50_4,N50,Ncont,B4,50,67.9082081,206.3024121,0.32916827,229.1168771,43.06113082,272.1780079,2.434853031,4.27,0.3732,19.46,596.74,2,11459,1029,0.249499247,4.176547297,5.488815473,8.119766564,0.779010412,11.13605442,0.089798412,3.76561022,0.96742868,83,661,4.479346261,63,4.12368209,1.479329484,3.98877717
YN50_5,N50,Ncont,B5,50,58.86576788,236.3055602,0.249108687,480.0679669,38.03826982,518.1062367,2.71441882,4.67,0.4102,24.02,478.12,4,12148,850,0.113617177,4.246603844,4.817983409,8.151969584,0.262370198,14.29176471,0.069970365,3.73989508,0.96673298,77,666,4.483011236,66,4.17873434,1.69198789,3.811250042
NN00_1,N0,Ncess,B1,0,37.56901003,10.70081973,3.510853465,0.60354842,2.077212478,2.680760898,0.42825808,6.53,0.3372,11.25,136.96,11,9599,2483,14.01430842,4.033963831,4.941660819,8.034078882,0.014657327,3.865888039,0.258672778,3.98401072,0.97386174,95,665,4.508398842,35,3.53598308,1.625785171,3.52535007
NN00_2,N0,Ncess,B2,0,45.85234355,11.30564371,4.055703923,0,2.195122595,2.195122595,0.34145878,7.04,0.3198,8.662,303.02,10,9472,2497,20.88828371,4.104850469,6.642875667,8.034416955,0.017824785,3.793352022,0.263619088,3.96613303,0.97242952,93,664,4.515457439,38,3.62801564,1.20947875,3.263830761
NN00_3,N0,Ncess,B3,0,45.97510188,10.27131632,4.47606718,0,2.224192541,2.224192541,0.34717238,7.3,0.3213,9.9875,146.04,9,9579,2379,20.67046851,3.956262338,6.544838008,8.035938824,0.024949332,4.026481715,0.248355778,3.83541693,0.96751066,89,655,4.506581958,23,3.10797228,1.227828529,3.40387726
NN00_4,N0,Ncess,B4,0,99.08810467,18.59776931,5.327956435,5.099882879,2.522929348,7.622812227,0.882115222,7.68,0.2484,6.41,210.51,11,9591,2420,12.99889092,4.07408697,6.631111144,8.04188003,0.096918746,3.96322314,0.252319883,3.91843165,0.96984991,94,663,4.492454461,38,3.63758616,1.212749999,3.188632078
NN00_5,N0,Ncess,B5,0,66.33279568,11.06371463,5.995526629,0,2.127182389,2.127182389,0.327804729,6.74,0.3798,13.628,207.17,11,9094,2604,31.1834077,4.12972544,6.734966853,8.031622798,0.035931253,3.492319508,0.286342644,3.87757904,0.97013934,90,667,4.481020283,54,3.97008841,1.192525958,3.34824811
NN02_1,N02,Ncess,B1,2,70.1721367,15.24066032,4.604271418,3.312369422,2.119490402,5.431859824,0.734948554,6.56,0.3632,12.176,197.69,12,9550,2545,12.91862069,4.164993424,6.669423541,8.043185244,0.044169366,3.752455796,0.266492147,4.03127622,0.97341496,100,664,4.488402083,54,3.94321307,1.205979077,3.382070118
NN02_2,N02,Ncess,B2,2,54.14550339,12.12428464,4.465872008,1.84607509,2.677057678,4.523132768,0.655439336,7.7,0.3034,5.83,249.3,8,9502,2522,11.97079683,3.996993246,6.635921955,8.036329548,0.023956766,3.767644726,0.265417807,3.90920953,0.97090652,91,656,4.520414822,16,2.7255504,1.211034368,3.510979706
NN02_3,N02,Ncess,B3,2,50.98256729,11.36940402,4.484189954,1.471141776,2.445139089,3.916280865,0.592873831,7.66,0.3127,9.106,222.55,13,9605,2519,13.01810801,4.136696583,6.660518573,8.041345156,0.028480178,3.81302104,0.26225924,3.92275332,0.97118903,95,659,4.505594503,35,3.54501076,1.207315176,3.413713264
NN02_4,N02,Ncess,B4,2,57.23126799,11.68766645,4.896723245,2.582225982,3.03916309,5.621389072,0.749843645,7.59,0.2442,5.924,146.04,12,9745,2432,10.18098325,3.883191115,6.629274618,8.05185517,0.05674628,4.006990132,0.249563879,3.90429596,0.96931019,92,653,4.500660219,71,4.23229779,1.214590681,3.255113906
NN02_5,N02,Ncess,B5,2,41.00987728,8.140321599,5.037869423,2.372311828,2.39744225,4.769754078,0.678495988,6.84,0.3402,12.494,162.39,11,9399,2385,8.597901822,4.054526513,6.478245634,8.030569693,0.024609694,3.940880503,0.253750399,3.87234198,0.9691419,92,658,4.514886933,28,3.30877776,1.239621056,3.762997981
NN05_1,N05,Ncess,B1,5,43.54559181,12.78982779,3.404705093,2.793013928,2.583665535,5.376679463,0.730514146,6.6,0.3568,12.636,126.8,15,9783,2495,8.098974862,4.084752622,6.687278417,8.045313211,0.043461541,3.921042084,0.255034243,3.98558749,0.97288819,100,664,4.489931391,28,3.31949258,1.203077352,2.964943434
NN05_2,N05,Ncess,B2,5,54.51025709,11.43332733,4.767663473,1.896217265,1.52006547,3.416282735,0.533553806,7.03,0.3716,8.94,149.69,12,9720,2399,15.95601457,3.989942525,6.543776307,8.040062228,0.031237915,4.051688203,0.2468107,3.90306882,0.9696126,92,662,4.503408172,27,3.26256795,1.228657865,3.732214552
NN05_3,N05,Ncess,B3,5,53.38791318,11.25839274,4.742054609,0.869962737,2.873513283,3.74347602,0.573275055,7.22,0.2314,6.948,234.82,9,9559,2594,14.26158813,4.059415505,6.689167713,8.042259889,0.027072275,3.685042406,0.271367298,3.96042735,0.97107012,98,652,4.499889217,41,3.70466261,1.202281096,4.012143953
NN05_4,N05,Ncess,B4,5,69.92891224,13.29997558,5.257822604,2.600877755,2.681650356,5.282528111,0.722841817,7.63,0.2576,6.918,267.71,10,9338,2600,13.2377738,4.022570086,6.762471703,8.037310556,0.041090806,3.591538462,0.278432212,3.94535716,0.97237433,97,658,4.51062473,31,3.41248972,1.188516701,3.337412865
NN05_5,N05,Ncess,B5,5,58.42892687,10.47508899,5.577893126,2.42675854,2.149846258,4.576604798,0.660543412,6.41,0.382,17.316,126.94,10,9240,2497,12.76687183,4.042830648,6.609111876,8.039768803,0.021924836,3.700440529,0.270238095,3.95769509,0.9703839,100,655,4.476721514,36,3.5646233,1.216467349,3.383003635
NN10_1,N10,Ncess,B1,10,39.11147745,10.64098781,3.675549502,1.884571627,2.025522968,3.910094595,0.592187264,6.31,0.4118,17.844,290.43,8,9687,2578,10.00269341,4.027247822,6.680521367,8.046993031,0.049735186,3.757564003,0.266129865,3.9607859,0.97078661,99,668,4.505572904,25,3.19314839,1.204545662,3.199092126
NN10_2,N10,Ncess,B2,10,59.85822116,12.34568722,4.848512691,1.277122627,2.815824588,4.092947215,0.612036144,7.18,0.324,8.804,310.65,10,9773,2446,14.62472346,4.111470082,6.63319461,8.047930535,0.033904155,3.995502862,0.250281387,3.93927881,0.97146363,97,659,4.508528474,29,3.35498757,1.213281233,3.340696532
NN10_3,N10,Ncess,B3,10,63.56783082,14.4978149,4.384649084,1.290568828,4.044831572,5.3354004,0.727167017,6.79,0.3256,12.438,205.28,10,9735,2277,11.91435057,4.13584768,6.475296071,8.046818047,0.043382125,4.275362319,0.233898305,3.91684629,0.97187578,92,659,4.488380905,35,3.53598308,1.242694999,3.526178885
NN10_4,N10,Ncess,B4,10,52.80969373,11.39098413,4.636095804,2.47750397,2.519230353,4.996734323,0.698686259,7.04,0.2892,10.354,210.4,9,9433,2457,10.56884163,4.093363937,6.640057695,8.042514474,0.05622881,3.839234839,0.260468568,3.90225218,0.96989646,98,654,4.472423872,73,4.26072588,1.211211535,3.442740258
NN10_5,N10,Ncess,B5,10,57.35833653,9.218291748,6.22223055,1.61820618,1.432086619,3.050292799,0.484341529,6.27,0.374,18.256,221.25,11,9523,2584,18.80420678,3.950520223,6.754001549,8.043907998,0.038553192,3.685371517,0.271343064,3.95521221,0.97181399,100,661,4.480323233,52,3.91226671,1.190984032,3.129109574
NN15_1,N15,Ncess,B1,15,47.36696839,12.63204885,3.749745505,1.371248963,2.290668766,3.661917729,0.563708583,6.53,0.3658,13.446,246.01,10,9838,2546,12.93501709,4.188192226,6.679465959,8.050068108,0.040917053,3.86410055,0.258792437,3.9617354,0.97170562,99,666,4.497868907,37,3.61091791,1.205196367,3.915021433
NN15_2,N15,Ncess,B2,15,65.00108987,11.60797292,5.599693445,0.872504779,1.897190624,2.769695403,0.44243201,7.24,0.3796,9.802,219.64,8,10123,2594,23.46867811,4.173544485,6.718811763,8.052534726,0.085041433,3.902467232,0.256248148,4.01889137,0.97384338,101,659,4.506005649,52,3.93763981,1.198505779,3.563191218
NN15_3,N15,Ncess,B3,15,65.92485436,11.98037806,5.502735726,1.320125976,2.234059343,3.554185319,0.550740069,7.59,0.2348,6.756,619.55,4,9622,2480,18.5485135,4.078978046,6.712629065,8.038061485,0.055688371,3.87983871,0.257742673,3.96017097,0.97138843,96,662,4.50761646,27,3.282694,1.197453547,3.647730878
NN15_4,N15,Ncess,B4,15,91.4205983,14.05421734,6.504851611,5.730922997,2.216235008,7.947158005,0.900211848,6.86,0.3394,13.014,202.13,8,9572,2524,11.50355866,4.104093317,6.712026164,8.046124923,0.084107494,3.792393027,0.26368575,3.95027705,0.97181149,97,655,4.494030333,66,4.16927842,1.198762449,3.179908364
NN15_5,N15,Ncess,B5,15,55.61939812,8.930635495,6.227932844,1.929315058,1.036877879,2.966192937,0.472199396,5.84,0.4268,26.82,233.37,7,9721,2548,18.75110598,4.102029101,6.77885102,8.051244026,0.05991138,3.815149137,0.262112951,3.96885079,0.97003947,101,663,4.484964204,61,4.07670444,1.187700394,2.951749404
NN20_1,N20,Ncess,B1,20,50.84161982,11.33472451,4.485474682,1.31985913,1.842726401,3.162585531,0.50004228,5.8,0.4238,32.64,220.38,7,10153,2290,16.07596674,4.19191479,6.590250436,8.063481901,0.047350386,4.433624454,0.225549099,3.91026841,0.96993922,97,660,4.452011083,46,3.81343875,1.223547114,3.291790299
NN20_2,N20,Ncess,B2,20,46.5079574,11.38149723,4.086277619,1.34904405,1.778285338,3.127329388,0.495173626,6.1,0.4446,23.94,306.55,8,10404,2531,14.87146112,4.087838458,6.771795055,8.06430068,0.047351015,4.11062821,0.243271819,4.01244722,0.9732918,101,667,4.510898385,34,3.52636052,1.190866028,3.419497024
NN20_3,N20,Ncess,B3,20,44.85562599,12.87562741,3.483762349,3.647351327,3.15228148,6.799632807,0.832485461,6.08,0.4186,21,260.65,5,10417,2495,6.596771806,4.298084298,6.64164811,8.069415691,0.615634361,4.175150301,0.239512336,3.95902657,0.972351,98,660,4.49119537,38,3.63758616,1.21497188,3.493147726
NN20_4,N20,Ncess,B4,20,55.88290893,12.18798439,4.585082089,4.210379846,2.911756664,7.12213651,0.852610294,6.06,0.4372,21.94,236.92,8,10133,2398,7.846368692,4.185789582,6.594164706,8.069568002,0.070117986,4.225604671,0.236652521,4.03577663,0.9745973,101,661,4.494137936,50,3.90464339,1.223743774,3.25715528
NN20_5,N20,Ncess,B5,20,48.87282677,8.261480423,5.915746848,1.787563048,0.825833221,2.613396269,0.417205267,5.76,0.4184,29.26,426.94,7,9909,2405,18.70088641,4.062331769,6.65564871,8.049744839,0.040676721,4.12016632,0.242708649,3.86170973,0.96697085,97,661,4.468885489,47,3.8501476,1.209460594,3.254187405
NN50_1,N50,Ncess,B1,50,64.1698582,20.75574297,3.091667607,9.421482199,1.297884051,10.71936625,1.03016911,5.14,0.5308,35.2,212.41,7,11181,1691,5.986348139,4.100535303,6.015315403,8.099320911,0.076548318,6.612063868,0.151238709,3.75983388,0.9586774,95,664,4.413731863,35,3.55534806,1.346449915,3.530842904
NN50_2,N50,Ncess,B2,50,46.82093915,15.86507208,2.951196119,5.113456794,1.408434143,6.521890937,0.814373532,5.42,0.4926,30.94,274.81,6,11225,2114,7.179043563,4.080379637,6.420050517,8.106830263,0.094773446,5.309839167,0.188329621,3.92525436,0.96890145,97,666,4.461579236,73,4.27179013,1.262736211,3.606573937
NN50_3,N50,Ncess,B3,50,64.09961877,15.72667699,4.075852694,4.092058563,2.2099231,6.301981663,0.799477135,6.61,0.3604,17.312,402.46,3,10978,2386,10.17134327,4.24500199,6.737543958,8.084269107,0.09648558,4.601005868,0.217343778,3.94865357,0.97018344,97,667,4.481408636,68,4.21950771,1.19988369,3.436350189
NN50_4,N50,Ncess,B4,50,69.34301265,13.74407467,5.04530238,6.473013702,1.379237786,7.852251488,0.894994201,4.89,0.4248,47.36,247.35,5,10767,1873,8.830971952,4.121673183,6.232948315,8.104786722,0.159766198,5.748531767,0.173957463,3.96382624,0.97171927,95,664,4.468384508,79,4.34479518,1.300313481,3.797951297
NN50_5,N50,Ncess,B5,50,57.45916372,13.18358883,4.358385601,4.226971325,1.150022428,5.376993753,0.730539532,4.81,0.4976,44.74,148.69,12,10801,1602,10.68611316,4.230744387,5.965291656,8.081963233,0.118471741,6.742197253,0.1483196,3.75411385,0.96230766,90,660,4.294102882,52,3.9214465,1.354831197,3.615795087
